subset,scores,kendall_tau,num_instances
movie_recommendation,"Qwen__Qwen2.5-72B-Instruct                0.768
Qwen__Qwen2.5-32B-Instruct                0.664
mistralai__Mistral-Large-Instruct-2411    0.824
meta-llama__Llama-3.3-70B-Instruct        0.784
Qwen__Qwen2-72B-Instruct                  0.812
                                          ...  
nvidia__AceMath-7B-RM                     0.172
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.280
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.288
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.220
PrimeIntellect__INTELLECT-1-Instruct      0.276
Length: 443, dtype: float64",0.6299611869520079,250
navigate,"Qwen__Qwen2.5-72B-Instruct                0.832
Qwen__Qwen2.5-32B-Instruct                0.748
mistralai__Mistral-Large-Instruct-2411    0.500
meta-llama__Llama-3.3-70B-Instruct        0.696
Qwen__Qwen2-72B-Instruct                  0.736
                                          ...  
nvidia__AceMath-7B-RM                     0.420
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.580
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.420
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.424
PrimeIntellect__INTELLECT-1-Instruct      0.420
Length: 443, dtype: float64",0.5078618133081834,250
object_counting,"Qwen__Qwen2.5-72B-Instruct                0.612
Qwen__Qwen2.5-32B-Instruct                0.372
mistralai__Mistral-Large-Instruct-2411    0.196
meta-llama__Llama-3.3-70B-Instruct        0.580
Qwen__Qwen2-72B-Instruct                  0.608
                                          ...  
nvidia__AceMath-7B-RM                     0.036
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.004
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.076
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.192
PrimeIntellect__INTELLECT-1-Instruct      0.012
Length: 443, dtype: float64",0.6429581125788238,250
penguins_in_a_table,"Qwen__Qwen2.5-72B-Instruct                0.719178
Qwen__Qwen2.5-32B-Instruct                0.808219
mistralai__Mistral-Large-Instruct-2411    0.856164
meta-llama__Llama-3.3-70B-Instruct        0.643836
Qwen__Qwen2-72B-Instruct                  0.643836
                                            ...   
nvidia__AceMath-7B-RM                     0.089041
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.226027
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.184932
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.287671
PrimeIntellect__INTELLECT-1-Instruct      0.205479
Length: 443, dtype: float64",0.8067456994336549,146
reasoning_about_colored_objects,"Qwen__Qwen2.5-72B-Instruct                0.864
Qwen__Qwen2.5-32B-Instruct                0.884
mistralai__Mistral-Large-Instruct-2411    0.908
meta-llama__Llama-3.3-70B-Instruct        0.892
Qwen__Qwen2-72B-Instruct                  0.844
                                          ...  
nvidia__AceMath-7B-RM                     0.028
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.168
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.104
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.172
PrimeIntellect__INTELLECT-1-Instruct      0.016
Length: 443, dtype: float64",0.8376772761029422,250
ruin_names,"Qwen__Qwen2.5-72B-Instruct                0.888
Qwen__Qwen2.5-32B-Instruct                0.824
mistralai__Mistral-Large-Instruct-2411    0.884
meta-llama__Llama-3.3-70B-Instruct        0.852
Qwen__Qwen2-72B-Instruct                  0.884
                                          ...  
nvidia__AceMath-7B-RM                     0.176
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.204
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.208
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.208
PrimeIntellect__INTELLECT-1-Instruct      0.208
Length: 443, dtype: float64",0.7269750298545299,250
salient_translation_error_detection,"Qwen__Qwen2.5-72B-Instruct                0.668
Qwen__Qwen2.5-32B-Instruct                0.696
mistralai__Mistral-Large-Instruct-2411    0.684
meta-llama__Llama-3.3-70B-Instruct        0.672
Qwen__Qwen2-72B-Instruct                  0.584
                                          ...  
nvidia__AceMath-7B-RM                     0.112
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.120
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.224
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.112
PrimeIntellect__INTELLECT-1-Instruct      0.112
Length: 443, dtype: float64",0.8014538523635742,250
snarks,"Qwen__Qwen2.5-72B-Instruct                0.926966
Qwen__Qwen2.5-32B-Instruct                0.842697
mistralai__Mistral-Large-Instruct-2411    0.887640
meta-llama__Llama-3.3-70B-Instruct        0.803371
Qwen__Qwen2-72B-Instruct                  0.893258
                                            ...   
nvidia__AceMath-7B-RM                     0.342697
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.528090
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.488764
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.544944
PrimeIntellect__INTELLECT-1-Instruct      0.539326
Length: 443, dtype: float64",0.6190982582154214,178
sports_understanding,"Qwen__Qwen2.5-72B-Instruct                0.891129
Qwen__Qwen2.5-32B-Instruct                0.818548
mistralai__Mistral-Large-Instruct-2411    0.778226
meta-llama__Llama-3.3-70B-Instruct        0.951613
Qwen__Qwen2-72B-Instruct                  0.895161
                                            ...   
nvidia__AceMath-7B-RM                     0.459677
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.544355
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.520161
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.556452
PrimeIntellect__INTELLECT-1-Instruct      0.459677
Length: 443, dtype: float64",0.6110207183321653,248
temporal_sequences,"Qwen__Qwen2.5-72B-Instruct                0.996
Qwen__Qwen2.5-32B-Instruct                0.892
mistralai__Mistral-Large-Instruct-2411    0.996
meta-llama__Llama-3.3-70B-Instruct        1.000
Qwen__Qwen2-72B-Instruct                  0.952
                                          ...  
nvidia__AceMath-7B-RM                     0.208
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.200
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.268
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.284
PrimeIntellect__INTELLECT-1-Instruct      0.256
Length: 443, dtype: float64",0.4519533504411038,250
tracking_shuffled_objects_five_objects,"Qwen__Qwen2.5-72B-Instruct                0.320
Qwen__Qwen2.5-32B-Instruct                0.252
mistralai__Mistral-Large-Instruct-2411    0.284
meta-llama__Llama-3.3-70B-Instruct        0.324
Qwen__Qwen2-72B-Instruct                  0.276
                                          ...  
nvidia__AceMath-7B-RM                     0.200
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.188
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.220
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.192
PrimeIntellect__INTELLECT-1-Instruct      0.208
Length: 443, dtype: float64",0.1145226440290307,250
tracking_shuffled_objects_seven_objects,"Qwen__Qwen2.5-72B-Instruct                0.340
Qwen__Qwen2.5-32B-Instruct                0.288
mistralai__Mistral-Large-Instruct-2411    0.336
meta-llama__Llama-3.3-70B-Instruct        0.260
Qwen__Qwen2-72B-Instruct                  0.272
                                          ...  
nvidia__AceMath-7B-RM                     0.144
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.116
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.128
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.148
PrimeIntellect__INTELLECT-1-Instruct      0.152
Length: 443, dtype: float64",0.32485111758420937,250
tracking_shuffled_objects_three_objects,"Qwen__Qwen2.5-72B-Instruct                0.400
Qwen__Qwen2.5-32B-Instruct                0.352
mistralai__Mistral-Large-Instruct-2411    0.336
meta-llama__Llama-3.3-70B-Instruct        0.360
Qwen__Qwen2-72B-Instruct                  0.372
                                          ...  
nvidia__AceMath-7B-RM                     0.336
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.332
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.344
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.312
PrimeIntellect__INTELLECT-1-Instruct      0.332
Length: 443, dtype: float64",0.060459307528178394,250
web_of_lies,"Qwen__Qwen2.5-72B-Instruct                0.676
Qwen__Qwen2.5-32B-Instruct                0.724
mistralai__Mistral-Large-Instruct-2411    0.484
meta-llama__Llama-3.3-70B-Instruct        0.744
Qwen__Qwen2-72B-Instruct                  0.632
                                          ...  
nvidia__AceMath-7B-RM                     0.488
HuggingFaceTB__SmolLM2-135M-Instruct_2    0.540
HuggingFaceTB__SmolLM2-360M-Instruct_2    0.488
TinyLlama__TinyLlama-1.1B-Chat-v1.0       0.488
PrimeIntellect__INTELLECT-1-Instruct      0.488
Length: 443, dtype: float64",0.12739543462106254,250
